383498,209112
383498,155
383498,272
383498,49521
383498,263115
402900,1572
402900,75656
402900,949
402900,259316
402900,489931
466282,449176
466282,43923
466282,308369
466282,376660
466282,286565
363088,141052
363088,297762
363088,209112
363088,49521
363088,364
454983,449176
454983,101299
454983,272693
454983,49022
454983,109689
293660,141052
293660,1924
293660,1452
293660,8536
293660,155
455980,460019
455980,4922
455980,390043
455980,254470
455980,260514
283995,299536
283995,1924
283995,1452
283995,8536
283995,9738
291805,467938
291805,260346
291805,281957
291805,241554
291805,9654
455207,8966
455207,581
455207,281957
455207,449176
455207,466282
177572,281957
177572,479
177572,2048
177572,395834
177572,238636
399174,263109
399174,531
399174,387592
399174,533
399174,530
420814,5915
420814,424
420814,396371
420814,399404
420814,266856
449176,398818
449176,376867
449176,184352
449176,511785
449176,26371
487558,324786
487558,363676
487558,1883
487558,266856
487558,424
507562,81
507562,128
507562,129
507562,476292
507562,372058
400155,49017
400155,7131
400155,24021
400155,76492
400155,124905
353486,333339
353486,314095
353486,70160
353486,258489
353486,131631
159824,76492
159824,766
159824,129
159824,767
159824,675
98566,272
98566,604
98566,605
98566,1930
98566,209112
207703,155
207703,272
207703,1726
207703,49521
207703,99861
150540,12092
150540,812
150540,260513
150540,11360
150540,2300
445571,275
445571,473149
445571,264644
445571,270487
445571,11974
455656,10625
455656,272693
455656,19840
455656,2105
455656,449176
808,809
808,10882
808,10020
808,38757
808,150689
20352,342473
20352,93456
20352,267935
20352,309809
20352,19101
425,49519
425,278154
425,387592
425,10567
425,675
269149,278927
269149,346364
269149,338970
269149,101299
269149,27576
257344,251516
257344,333339
257344,603
257344,604
257344,605
14160,9479
14160,3933
14160,326359
14160,32085
14160,145316
310,604
310,311
310,9946
310,59678
310,5876
585,62211
585,1124
585,339404
585,275
585,55721
166426,1865
166426,22
166426,58
166426,285
166426,76285
76492,159824
76492,766
76492,129
76492,767
76492,675
503619,402897
503619,14
503619,419430
503619,1359
503619,109414
460668,2062
460668,453
460668,694
460668,745
460668,14435
18785,298
18785,324668
18785,524
18785,137093
18785,9029
82702,10191
82702,425
82702,10054
82702,277216
82702,400579
454992,691
454992,954
454992,37724
454992,646
454992,36669
57800,425
57800,17610
57800,30505
57800,18905
57800,10567
437557,376660
437557,391713
437557,112160
437557,11631
437557,297762
181533,1593
181533,863
181533,122
181533,600
181533,9331
218746,52449
218746,11036
218746,372058
218746,399796
218746,449176
313369,10947
313369,525
313369,10545
313369,11887
313369,824
260514,335797
260514,258509
260514,58496
260514,9598
260514,9986
390043,245891
390043,1620
390043,2502
390043,156022
390043,59967
254470,114150
254470,786
254470,354912
254470,525
254470,6477
950,425
950,435
950,7840
950,387893
106646,261023
106646,4771
106646,769
106646,398181
106646,400535
454619,3134
454619,357096
454619,281957
454619,467938
454619,238636
194662,98566
194662,14
194662,155
194662,272
194662,49026
270946,49013
270946,10140
270946,12
270946,128
270946,920
350,65754
350,2501
350,600
350,8966
350,581
391713,398818
391713,376660
391713,376867
391713,84892
391713,394117
502682,451480
502682,5951
502682,448514
502682,125255
10193,862
10193,38757
10193,214756
10193,72105
10193,10895
418827,53932
418827,345
418827,405817
418827,28468
418827,10068
9502,278927
9502,140300
9502,812
9502,24
9502,604
458423,11224
458423,11970
458423,10020
458423,254470
458423,313369
608,607
608,601
608,395
608,817
608,840
338768,400579
338768,380
338768,302946
338768,431
338768,26466
112160,449176
112160,14
112160,86331
112160,17130
112160,53932
2062,6283
2062,308531
2062,10009
2062,10137
2062,212778
127380,12
127380,920
127380,38055
127380,10865
127380,9479
384677,769
384677,968
384677,2291
384677,11517
384677,18487
809,808
809,10882
809,150689
809,810
809,10144
10625,89185
