76492,159824
809,808
278154,425
93456,20352
920,127380
400579,82702
335797,260514
810,809
214756,10193
114150,254470
11631,437557
376659,325133
376659,225886
187017,64688
376660,10625
364689,920
195589,325133
195589,376659
49013,920
49013,270946
38055,127380
19913,50544
324852,93456
511785,449176
1593,181533
140300,9502
818,238713
49519,425
49519,93456
109414,402897
339404,585
172385,46195
9880,272693
188222,74643
10947,11887
10947,313369
270487,188222
7446,74643
86838,193893
11430,10527
387592,425
387592,49519
387592,278154
9836,335797
6477,364689
87567,225886
342473,20352
